page_id,page_name,disclaimer,amount_spent_ron,party,affil,label,notes,link_ad_library,link_fb_page
360184320712594,Raluca Turcan,Screen Native,80803,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=360184320712594,https://www.facebook.com/360184320712594
105522854133423,Radu Panait,Radu Panait,76943,USR,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=105522854133423,https://www.facebook.com/105522854133423
292847028010932,Roma for Democracy Romania,Roma for Democracy Romania,75438,,,ngo,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=292847028010932,https://www.facebook.com/292847028010932
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,75430,PNL,pro-PNL,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=181375448581167,https://www.facebook.com/181375448581167
329619180721358,Cosette Chichirău,Atelierul de internet SRL,71251,DREPT,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=329619180721358,https://www.facebook.com/329619180721358
101729168091150,Sabin Sărmaș,Sabin Sărmaș,71111,PNL,pro-candidate,candidate,"no clear reference to PNL, had to google him",https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=101729168091150,https://www.facebook.com/101729168091150
185088338177066,PNL IASI,PNL IASI,69867,PNL,pro-PNL,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=185088338177066,https://www.facebook.com/185088338177066
340832756541451,Cristian Terhes,Partidul Național Conservator Român,69818,PNCR,pro-Terhes,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=340832756541451,https://www.facebook.com/340832756541451
107729512036373,Cynthia Paun,Uniunea Salvați România,66572,USR,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=107729512036373,https://www.facebook.com/107729512036373
226025890603083,Giuliano Dumitru,Giuliano Dumitru,61006,PRA,"pro-PRA, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=226025890603083,https://www.facebook.com/226025890603083
107514905357808,REPER București,Partidul REPER - Filiala București,60094,REPER,pro-REPER,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=107514905357808,https://www.facebook.com/107514905357808
